time_matrix;configurations;answer;answer_time
[[17, 6, 17], [8, 16, 18], [12, 6, 18]];[[2, 2, 2], [1, 3, 1], [2, 1, 2], [2, 1, 1], [1, 3, 3], [3, 3, 3], [3, 2, 3], [1, 2, 1], [1, 1, 1], [2, 3, 1]];[[2, 1, 2], [2, 2, 2], [3, 2, 3], [3, 3, 3], [1, 3, 3], [1, 3, 1], [2, 3, 1], [2, 1, 1], [1, 1, 1], [1, 2, 1]];165
[[17, 6, 17], [8, 16, 18], [12, 6, 18]];[[2, 2, 2], [1, 3, 1], [2, 1, 2], [2, 1, 1], [1, 3, 3], [3, 3, 3], [3, 2, 3], [1, 2, 1], [1, 1, 1], [2, 3, 1]];[[2, 1, 2], [2, 2, 2], [1, 2, 1], [1, 1, 1], [2, 1, 1], [2, 3, 1], [1, 3, 1], [1, 3, 3], [3, 3, 3], [3, 2, 3]];165
[[17, 6, 17], [8, 16, 18], [12, 6, 18]];[[2, 2, 2], [1, 3, 1], [2, 1, 2], [2, 1, 1], [1, 3, 3], [3, 3, 3], [3, 2, 3], [1, 2, 1], [1, 1, 1], [2, 3, 1]];[[2, 1, 2], [2, 1, 1], [1, 1, 1], [1, 2, 1], [2, 2, 2], [3, 2, 3], [3, 3, 3], [1, 3, 3], [1, 3, 1], [2, 3, 1]];165
[[8, 18, 18], [20, 12, 17], [15, 7, 11]];[[2, 2, 2], [3, 3, 1], [2, 1, 1], [3, 3, 3], [3, 1, 3], [2, 3, 3], [1, 3, 3], [1, 3, 1], [2, 3, 1], [1, 2, 1]];[[2, 2, 2], [1, 2, 1], [1, 3, 1], [3, 3, 1], [3, 3, 3], [3, 1, 3], [2, 1, 1], [2, 3, 1], [2, 3, 3], [1, 3, 3]];195
[[8, 18, 18], [20, 12, 17], [15, 7, 11]];[[2, 2, 2], [3, 3, 1], [2, 1, 1], [3, 3, 3], [3, 1, 3], [2, 3, 3], [1, 3, 3], [1, 3, 1], [2, 3, 1], [1, 2, 1]];[[3, 1, 3], [3, 3, 3], [3, 3, 1], [1, 3, 1], [1, 3, 3], [2, 3, 3], [2, 3, 1], [2, 1, 1], [2, 2, 2], [1, 2, 1]];195
[[9, 7, 18], [12, 5, 16], [10, 9, 6]];[[3, 3, 3], [2, 1, 1], [3, 1, 3], [1, 2, 2], [1, 3, 2], [2, 3, 3], [3, 3, 2], [3, 1, 2], [1, 3, 3], [2, 2, 1]];[[1, 2, 2], [1, 3, 2], [1, 3, 3], [2, 3, 3], [3, 3, 3], [3, 3, 2], [3, 1, 2], [3, 1, 3], [2, 1, 1], [2, 2, 1]];119
[[9, 18, 11], [5, 18, 14], [16, 8, 11]];[[3, 2, 2], [3, 2, 3], [3, 3, 3], [3, 1, 3], [2, 3, 3], [2, 2, 3], [2, 1, 3], [3, 2, 1], [3, 3, 1], [1, 2, 3]];[[3, 1, 3], [3, 3, 3], [2, 3, 3], [2, 1, 3], [2, 2, 3], [1, 2, 3], [3, 2, 3], [3, 2, 2], [3, 2, 1], [3, 3, 1]];140
[[9, 18, 11], [5, 18, 14], [16, 8, 11]];[[3, 2, 2], [3, 2, 3], [3, 3, 3], [3, 1, 3], [2, 3, 3], [2, 2, 3], [2, 1, 3], [3, 2, 1], [3, 3, 1], [1, 2, 3]];[[3, 1, 3], [3, 3, 3], [3, 3, 1], [3, 2, 1], [3, 2, 2], [3, 2, 3], [1, 2, 3], [2, 2, 3], [2, 3, 3], [2, 1, 3]];140
[[9, 18, 11], [5, 18, 14], [16, 8, 11]];[[3, 2, 2], [3, 2, 3], [3, 3, 3], [3, 1, 3], [2, 3, 3], [2, 2, 3], [2, 1, 3], [3, 2, 1], [3, 3, 1], [1, 2, 3]];[[3, 1, 3], [3, 3, 3], [3, 3, 1], [3, 2, 1], [3, 2, 2], [3, 2, 3], [1, 2, 3], [2, 2, 3], [2, 1, 3], [2, 3, 3]];140
[[9, 18, 11], [5, 18, 14], [16, 8, 11]];[[3, 2, 2], [3, 2, 3], [3, 3, 3], [3, 1, 3], [2, 3, 3], [2, 2, 3], [2, 1, 3], [3, 2, 1], [3, 3, 1], [1, 2, 3]];[[2, 3, 3], [2, 1, 3], [2, 2, 3], [1, 2, 3], [3, 2, 3], [3, 2, 2], [3, 2, 1], [3, 3, 1], [3, 3, 3], [3, 1, 3]];140
[[16, 20, 9], [20, 17, 13], [13, 10, 8]];[[1, 3, 3], [1, 1, 2], [1, 1, 1], [3, 3, 2], [3, 2, 3], [1, 2, 2], [3, 1, 3], [3, 3, 1], [3, 2, 2], [2, 1, 1]];[[1, 3, 3], [1, 2, 2], [1, 1, 2], [1, 1, 1], [2, 1, 1], [3, 1, 3], [3, 2, 3], [3, 2, 2], [3, 3, 2], [3, 3, 1]];187
[[18, 9, 20], [13, 7, 19], [12, 10, 12]];[[3, 2, 1], [2, 1, 2], [2, 3, 3], [3, 1, 3], [2, 3, 1], [2, 1, 3], [2, 1, 1], [1, 1, 1], [3, 2, 2], [3, 2, 3]];[[3, 2, 1], [3, 2, 2], [3, 2, 3], [3, 1, 3], [2, 1, 3], [2, 1, 2], [2, 1, 1], [1, 1, 1], [2, 3, 1], [2, 3, 3]];163
[[18, 9, 20], [13, 7, 19], [12, 10, 12]];[[3, 2, 1], [2, 1, 2], [2, 3, 3], [3, 1, 3], [2, 3, 1], [2, 1, 3], [2, 1, 1], [1, 1, 1], [3, 2, 2], [3, 2, 3]];[[3, 2, 1], [3, 2, 2], [3, 2, 3], [3, 1, 3], [2, 1, 3], [2, 1, 2], [1, 1, 1], [2, 1, 1], [2, 3, 1], [2, 3, 3]];163
[[18, 9, 20], [13, 7, 19], [12, 10, 12]];[[3, 2, 1], [2, 1, 2], [2, 3, 3], [3, 1, 3], [2, 3, 1], [2, 1, 3], [2, 1, 1], [1, 1, 1], [3, 2, 2], [3, 2, 3]];[[2, 3, 3], [2, 3, 1], [3, 2, 1], [3, 2, 2], [3, 2, 3], [3, 1, 3], [2, 1, 3], [2, 1, 2], [2, 1, 1], [1, 1, 1]];163
