time_matrix;configurations;answer;answer_time
[[12, 19, 6], [9, 10, 10], [13, 19, 5]];[[3, 2, 3], [3, 1, 1], [2, 3, 3], [2, 3, 1], [3, 3, 3], [1, 3, 2], [1, 3, 3], [1, 2, 1], [1, 2, 3], [2, 3, 2]];[[3, 2, 3], [3, 3, 3], [2, 3, 3], [2, 3, 1], [2, 3, 2], [1, 3, 2], [1, 3, 3], [1, 2, 3], [1, 2, 1], [3, 1, 1]];137
[[12, 19, 6], [9, 10, 10], [13, 19, 5]];[[3, 2, 3], [3, 1, 1], [2, 3, 3], [2, 3, 1], [3, 3, 3], [1, 3, 2], [1, 3, 3], [1, 2, 1], [1, 2, 3], [2, 3, 2]];[[3, 2, 3], [1, 2, 3], [1, 2, 1], [3, 1, 1], [2, 3, 1], [2, 3, 3], [2, 3, 2], [1, 3, 2], [1, 3, 3], [3, 3, 3]];137
[[12, 19, 6], [9, 10, 10], [13, 19, 5]];[[3, 2, 3], [3, 1, 1], [2, 3, 3], [2, 3, 1], [3, 3, 3], [1, 3, 2], [1, 3, 3], [1, 2, 1], [1, 2, 3], [2, 3, 2]];[[3, 1, 1], [1, 2, 1], [1, 2, 3], [1, 3, 3], [1, 3, 2], [2, 3, 2], [2, 3, 1], [2, 3, 3], [3, 3, 3], [3, 2, 3]];137
[[12, 19, 6], [9, 10, 10], [13, 19, 5]];[[3, 2, 3], [3, 1, 1], [2, 3, 3], [2, 3, 1], [3, 3, 3], [1, 3, 2], [1, 3, 3], [1, 2, 1], [1, 2, 3], [2, 3, 2]];[[3, 3, 3], [1, 3, 3], [1, 3, 2], [2, 3, 2], [2, 3, 3], [2, 3, 1], [3, 1, 1], [1, 2, 1], [1, 2, 3], [3, 2, 3]];137
[[8, 10, 11], [5, 11, 15], [20, 12, 11]];[[2, 2, 2], [2, 1, 1], [1, 3, 3], [2, 2, 1], [1, 3, 2], [1, 2, 2], [2, 3, 1], [3, 2, 2], [3, 1, 2], [1, 2, 1]];[[1, 3, 3], [1, 3, 2], [2, 3, 1], [2, 1, 1], [2, 2, 1], [1, 2, 1], [1, 2, 2], [2, 2, 2], [3, 2, 2], [3, 1, 2]];138
[[8, 10, 11], [5, 11, 15], [20, 12, 11]];[[2, 2, 2], [2, 1, 1], [1, 3, 3], [2, 2, 1], [1, 3, 2], [1, 2, 2], [2, 3, 1], [3, 2, 2], [3, 1, 2], [1, 2, 1]];[[1, 3, 2], [1, 3, 3], [2, 3, 1], [2, 1, 1], [2, 2, 1], [1, 2, 1], [1, 2, 2], [2, 2, 2], [3, 2, 2], [3, 1, 2]];138
[[19, 9, 11], [8, 7, 8], [16, 13, 13]];[[3, 1, 3], [2, 3, 3], [2, 2, 3], [2, 2, 1], [3, 1, 1], [2, 1, 2], [2, 1, 1], [1, 3, 1], [1, 2, 1], [1, 1, 1]];[[2, 3, 3], [2, 2, 3], [3, 1, 3], [3, 1, 1], [1, 1, 1], [1, 3, 1], [1, 2, 1], [2, 2, 1], [2, 1, 1], [2, 1, 2]];136
[[19, 9, 11], [8, 7, 8], [16, 13, 13]];[[3, 1, 3], [2, 3, 3], [2, 2, 3], [2, 2, 1], [3, 1, 1], [2, 1, 2], [2, 1, 1], [1, 3, 1], [1, 2, 1], [1, 1, 1]];[[2, 2, 3], [2, 3, 3], [3, 1, 3], [3, 1, 1], [1, 1, 1], [1, 3, 1], [1, 2, 1], [2, 2, 1], [2, 1, 1], [2, 1, 2]];136
[[5, 12, 9], [15, 10, 17], [20, 19, 18]];[[3, 1, 3], [2, 3, 2], [3, 3, 2], [1, 2, 1], [3, 3, 3], [1, 2, 3], [1, 1, 1], [1, 3, 3], [3, 2, 2], [2, 3, 1]];[[3, 1, 3], [3, 3, 3], [1, 3, 3], [1, 2, 3], [1, 2, 1], [1, 1, 1], [2, 3, 1], [2, 3, 2], [3, 3, 2], [3, 2, 2]];176
[[6, 6, 16], [19, 19, 6], [13, 5, 11]];[[1, 2, 3], [1, 1, 2], [3, 2, 2], [3, 3, 3], [1, 3, 3], [3, 2, 3], [1, 1, 1], [2, 3, 2], [3, 1, 3], [3, 2, 1]];[[1, 1, 2], [1, 1, 1], [3, 1, 3], [3, 3, 3], [3, 2, 2], [3, 2, 1], [3, 2, 3], [1, 2, 3], [1, 3, 3], [2, 3, 2]];147
